,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
164,165,NBL,254.00,6.00,2.42,250.00,260.00,245.00,"101,885.00",248.00
165,166,NBLD87,"1,022.00",0.00,0.00,"1,022.00","1,022.00","1,022.00",100.00,"1,022.00"
166,167,NESDO,"2,254.00",23.00,1.03,"2,206.00","2,300.00","2,206.00","4,032.00","2,231.00"
167,168,NFS,781.00,26.00,3.44,770.10,785.00,755.40,"70,252.00",755.00
168,169,NGPL,268.00,1.80,0.68,271.00,273.00,266.00,"229,798.00",266.20
169,170,NHDL,925.30,34.30,3.85,900.00,925.30,885.00,"57,001.00",891.00
170,171,NHPC,221.90,6.90,3.21,215.00,223.00,215.00,"148,030.00",215.00
171,172,NIBD84,"1,035.00",6.50,0.63,"1,028.50","1,035.00","1,028.50",285.00,"1,028.50"
172,173,NIBLGF,8.77,0.22,2.57,8.46,8.77,8.46,"2,700.00",8.55
173,174,NIBLSTF,8.56,-0.14,-1.61,8.55,8.70,8.53,"1,550.00",8.70
174,175,NIBSF2,8.60,0.30,3.61,8.30,8.70,8.28,"31,255.00",8.30
175,176,NICA,369.80,10.80,3.01,359.00,370.00,355.00,"137,664.00",359.00
176,177,NICAD8283,"1,190.70",-0.60,-0.05,"1,190.70","1,190.70","1,190.70",7.00,"1,191.30"
177,178,NICBF,9.18,0.18,2.00,9.15,9.18,9.15,200.00,9.00
178,179,NICD88,"1,020.00",-11.10,-1.08,"1,020.00","1,020.00","1,020.00",25.00,"1,031.10"
179,180,NICFC,8.99,-0.01,-0.11,8.89,9.07,8.89,"2,100.00",9.00
180,181,NICGF,10.70,0.20,1.90,10.70,10.70,10.70,"14,000.00",10.50
181,182,NICGF2,8.52,0.00,0.00,8.52,8.55,8.51,"1,800.00",8.52
182,183,NICL,"1,019.00",25.50,2.57,"1,012.90","1,022.00",994.00,"30,913.00",993.50
183,184,NICLBSL,655.90,6.10,0.94,649.00,658.90,645.70,"8,294.00",649.80
184,185,NICSF,9.21,0.01,0.11,9.38,9.40,9.21,"7,667.00",9.20
185,186,NIFRA,266.00,15.00,5.98,256.00,269.00,253.00,"556,902.00",251.00
186,187,NIL,942.90,-0.10,-0.01,950.00,950.00,939.10,"26,457.00",943.00
187,188,NIMB,211.60,3.10,1.49,209.00,213.60,208.30,"93,954.00",208.50
188,189,NIMBPO,163.10,5.10,3.23,161.10,163.10,155.20,"3,571.00",158.00
189,190,NLG,"1,098.00",14.00,1.29,"1,063.00","1,100.00","1,063.00","54,582.00","1,084.00"
190,191,NLIC,836.10,14.10,1.72,838.40,845.00,822.00,"208,707.00",822.00
191,192,NLICL,613.00,26.00,4.43,598.30,619.00,581.30,"63,337.00",587.00
192,193,NMB,244.10,4.10,1.71,237.00,246.00,237.00,"65,121.00",240.00
193,194,NMB50,10.23,0.23,2.30,9.95,10.23,9.91,"93,200.00",10.00
194,195,NMBD89/90,"1,176.00",2.00,0.17,"1,196.50","1,200.00","1,176.00","18,700.00","1,174.00"
195,196,NMBMF,695.00,15.00,2.21,680.00,698.00,671.40,"4,204.00",680.00
196,197,NMFBS,"1,299.00",8.00,0.62,"1,271.20","1,310.00","1,271.20",913.00,"1,291.00"
197,198,NMLBBL,665.00,6.00,0.91,669.00,670.00,660.00,"5,141.00",659.00
198,199,NRIC,920.00,49.10,5.64,888.30,935.00,875.00,"450,191.00",870.90
199,200,NRM,505.00,-5.20,-1.02,502.00,520.00,502.00,"147,410.00",510.20
200,201,NRN,"1,207.80",35.80,3.05,"1,180.00","1,221.00","1,175.00","514,706.00","1,172.00"
201,202,NSIF2,10.26,-0.10,-0.97,10.20,10.30,10.20,"1,000.00",10.36
202,203,NTC,916.80,31.80,3.59,890.00,917.00,889.00,"32,509.00",885.00
203,204,NUBL,691.50,13.10,1.93,691.90,691.90,671.10,"17,889.00",678.40
204,205,NWCL,"1,030.20",30.20,3.02,"1,019.80","1,040.00","1,000.00","10,548.00","1,000.00"
205,206,NYADI,605.00,5.00,0.83,600.00,648.00,590.00,"130,878.00",600.00
206,207,OHL,907.20,14.20,1.59,900.00,929.00,900.00,"6,504.00",893.00
207,208,PBD85,"1,030.00",0.00,0.00,"1,030.00","1,030.00","1,030.00",500.00,"1,030.00"
208,209,PBD88,"1,111.00",0.00,0.00,"1,129.00","1,129.00","1,111.00","20,065.00","1,111.00"
209,210,PBLD87,"1,025.00",0.00,0.00,"1,025.00","1,025.00","1,025.00",25.00,"1,025.00"
210,211,PCBL,246.00,4.00,1.65,242.00,246.00,238.10,"78,550.00",242.00
211,212,PFL,398.90,-3.10,-0.77,394.00,407.40,386.20,"114,955.00",402.00
212,213,PHCL,584.70,8.70,1.51,587.50,587.50,572.00,"88,342.00",576.00
213,214,PMHPL,299.00,13.90,4.88,290.00,300.00,289.00,"27,187.00",285.10
214,215,PMLI,590.00,12.00,2.08,578.00,590.00,571.00,"34,266.00",578.00
215,216,PPCL,302.90,7.60,2.57,300.00,305.00,297.00,"34,053.00",295.30
216,217,PPL,609.80,9.80,1.63,600.00,617.00,600.00,"46,874.00",600.00
217,218,PRIN,998.00,0.00,0.00,"1,014.90","1,014.90",992.30,"22,298.00",998.00
218,219,PROFL,558.00,12.00,2.20,540.00,572.20,540.00,"37,674.00",546.00
219,220,PRSF,9.88,0.08,0.82,9.67,10.04,9.67,"67,400.00",9.80
220,221,PRVU,224.30,3.10,1.40,219.30,226.00,218.00,"256,408.00",221.20
221,222,PSF,10.09,0.05,0.50,9.90,10.09,9.90,"333,000.00",10.04
222,223,RADHI,355.00,6.10,1.75,345.00,360.00,342.00,"64,060.00",348.90
223,224,RAWA,807.00,0.00,0.00,803.10,819.80,803.10,"9,735.00",807.00
224,225,RBBD83,"1,015.00",0.00,0.00,"1,015.00","1,015.00","1,015.00",20.00,"1,015.00"
225,226,RBCL,"14,505.00",5.10,0.04,"14,500.10","14,662.90","14,491.00",712.00,"14,499.90"
226,227,RBCLPO,"11,500.00",250.00,2.22,"11,444.90","11,500.00","11,444.00",170.00,"11,250.00"
227,228,RFPL,"1,141.00",-68.00,-5.62,"1,184.90","1,250.00","1,088.10","111,160.00","1,209.00"
228,229,RHGCL,622.00,0.00,0.00,613.00,628.00,610.00,"43,143.00",622.00
229,230,RHPL,449.50,1.50,0.33,446.00,455.90,445.00,"147,799.00",448.00
230,231,RIDI,230.90,6.40,2.85,225.90,233.00,225.00,"102,305.00",224.50
231,232,RLFL,530.00,0.00,0.00,535.10,539.00,525.00,"46,685.00",530.00
232,233,RMF1,9.07,0.20,2.25,8.90,9.07,8.80,"5,324.00",8.87
233,234,RMF2,9.13,0.03,0.33,8.93,9.14,8.93,"1,350.00",9.10
234,235,RNLI,526.80,1.90,0.36,524.00,529.00,521.80,"55,332.00",524.90
235,236,RSDC,655.00,10.10,1.57,650.00,660.00,641.00,"6,336.00",644.90
236,237,RURU,735.00,3.80,0.52,730.10,745.00,730.10,"7,296.00",731.20
237,238,SADBL,401.00,11.00,2.82,392.00,407.00,390.00,"52,638.00",390.00
238,239,SAGF,9.24,-0.11,-1.18,9.22,9.24,9.22,200.00,9.35
239,240,SAHAS,491.00,7.80,1.61,485.00,497.00,483.20,"118,191.00",483.20
240,241,SALICO,744.90,11.30,1.54,733.60,746.00,733.00,"10,169.00",733.60
241,242,SAMAJ,"3,468.00",132.00,3.96,"3,340.00","3,469.00","3,290.00",738.00,"3,336.00"
242,243,SANIMA,298.00,5.00,1.71,298.70,302.00,292.00,"114,454.00",293.00
243,244,SAPDBL,"1,365.00",92.00,7.23,"1,247.60","1,376.60","1,175.10","196,478.00","1,273.00"
244,245,SARBTM,786.50,1.40,0.18,800.80,800.80,782.00,"60,712.00",785.10
245,246,SBCF,9.20,0.09,0.99,9.05,9.25,9.05,"13,230.00",9.11
246,247,SBD87,"1,025.10",0.10,0.01,"1,025.10","1,025.10","1,025.10",25.00,"1,025.00"
247,248,SBI,422.00,-3.00,-0.71,418.10,432.00,418.10,"33,163.00",425.00
248,249,SBID83,"1,075.00",-3.00,-0.28,"1,075.00","1,075.00","1,075.00","10,000.00","1,078.00"
249,250,SBID89,"1,099.00",9.10,0.83,"1,085.00","1,099.00","1,085.00","5,067.00","1,089.90"
250,251,SBL,284.90,7.00,2.52,277.00,296.80,275.00,"80,035.00",277.90
251,252,SBLD2082,"1,065.00",-17.90,-1.65,"1,065.00","1,065.00","1,065.00",25.00,"1,082.90"
252,253,SBLD84,"1,029.00",0.00,0.00,"1,029.00","1,029.00","1,029.00",25.00,"1,029.00"
253,254,SBLD89,"1,216.00",-31.00,-2.49,"1,222.10","1,222.10","1,215.00","9,801.00","1,247.00"
254,255,SCB,681.00,1.00,0.15,680.00,695.60,676.00,"33,037.00",680.00
255,256,SCBD,"1,081.00",19.00,1.79,"1,060.90","1,081.00","1,060.90",48.00,"1,062.00"
256,257,SDBD87,"1,040.00",0.00,0.00,"1,050.00","1,050.00","1,040.00","11,350.00","1,040.00"
257,258,SEF,9.56,0.07,0.74,9.50,9.56,9.50,"2,000.00",9.49
258,259,SFCL,580.00,5.00,0.87,571.00,588.10,571.00,"39,195.00",575.00
259,260,SFEF,9.22,0.19,2.10,9.03,9.22,9.03,"1,900.00",9.03
260,261,SFMF,10.00,0.10,1.01,10.03,10.03,10.00,"31,228.00",9.90
261,262,SGHC,555.00,-6.00,-1.07,560.00,573.00,550.80,"65,868.00",561.00
262,263,SGIC,697.00,5.90,0.85,703.90,704.00,693.10,"38,123.00",691.10
263,264,SHEL,250.60,1.20,0.48,250.00,256.00,248.30,"119,018.00",249.40
264,265,SHINE,410.00,6.00,1.49,410.00,414.00,406.00,"60,674.00",404.00
265,266,SHIVM,555.30,-1.10,-0.20,567.50,567.50,555.00,"107,951.00",556.40
266,267,SHL,518.00,18.00,3.60,500.00,519.00,500.00,"137,082.00",500.00
267,268,SHLB,"2,508.10",-22.00,-0.87,"2,504.00","2,569.00","2,500.00","2,612.00","2,530.10"
268,269,SHPC,484.00,13.00,2.76,471.10,485.00,467.00,"104,066.00",471.00
269,270,SICL,811.00,7.10,0.88,814.90,815.00,807.00,"9,503.00",803.90
270,271,SIFC,536.00,10.00,1.90,518.10,548.00,518.10,"17,608.00",526.00
271,272,SIGS2,9.44,0.00,0.00,9.44,9.62,9.44,"6,800.00",9.44
272,273,SIGS3,9.62,-0.16,-1.64,9.60,9.62,9.60,800.00,9.78
273,274,SIKLES,915.00,11.00,1.22,901.30,925.00,894.00,"30,544.00",904.00
274,275,SINDU,"1,072.90",42.80,4.15,"1,029.00","1,085.00","1,029.00","112,313.00","1,030.10"
275,276,SJCL,359.90,4.70,1.32,355.00,364.00,354.00,"14,993.00",355.20
276,277,SJLIC,459.50,8.50,1.88,452.00,463.90,446.10,"52,064.00",451.00
277,278,SKBBL,817.00,9.10,1.13,810.00,817.00,805.10,"7,036.00",807.90
278,279,SLBBL,924.00,17.00,1.87,900.00,925.00,900.00,"5,754.00",907.00
279,280,SLBSL,"1,998.10",132.00,7.07,"1,903.40","1,998.10","1,890.00","15,403.00","1,866.10"
280,281,SLCF,9.41,-0.09,-0.95,9.41,9.41,9.41,"2,460.00",9.50
281,282,SMATA,857.90,8.90,1.05,840.00,860.00,837.00,"6,638.00",849.00
282,283,SMB,"2,642.00",24.80,0.95,"2,620.00","2,650.30","2,611.00","3,010.00","2,617.20"
283,284,SMFBS,"1,952.90",28.90,1.50,"1,959.00","1,962.00","1,921.00","3,195.00","1,924.00"
284,285,SMH,"1,112.00",23.00,2.11,"1,068.00","1,132.00","1,054.20","6,014.00","1,089.00"
